Type,Trans Date,Post Date,Description,Amount
Sale,01/17/2018,01/18/2018,ACE BARNES HARDWARE,-13.77
Sale,01/16/2018,01/18/2018,THE FLEETWOOD DINER,-29.00
Sale,01/15/2018,01/16/2018,SQ *PASTRY PEDDLER,-3.76
Payment,01/15/2018,01/15/2018,Payment Thank You - Web,400.00
Sale,01/14/2018,01/15/2018,BP#6444848SUNNY OIL,-59.84
Sale,01/14/2018,01/15/2018,HOVER,-14.92
Payment,01/13/2018,01/14/2018,Payment Thank You - Web,2541.80
Sale,01/13/2018,01/14/2018,RPS ANN ARBOR-PASSPORT P,-2.00
Adjustment,01/13/2018,01/14/2018,TRAVEL CREDIT $300/YEAR,0.80
Sale,01/13/2018,01/14/2018,KROGER #605,-61.90
Sale,01/13/2018,01/14/2018,RPS ANN ARBOR-PASSPORT P,-0.80
Adjustment,01/13/2018,01/14/2018,TRAVEL CREDIT $300/YEAR,2.00
Sale,01/12/2018,01/14/2018,SQ *SWEETWATERS WASHINGTO,-17.28
Adjustment,01/11/2018,01/11/2018,TRAVEL CREDIT $300/YEAR,2.00
Sale,01/11/2018,01/14/2018,ADAMS ARCHERY,-32.00
Sale,01/11/2018,01/11/2018,RPS ANN ARBOR-PASSPORT P,-2.00
Sale,01/10/2018,01/11/2018,PANERA BREAD #601105,-115.97
Sale,01/10/2018,01/10/2018,RPS ANN ARBOR-PASSPORT P,-1.60
Sale,01/10/2018,01/10/2018,RPS ANN ARBOR-PASSPORT P,-0.40
Adjustment,01/10/2018,01/10/2018,TRAVEL CREDIT $300/YEAR,1.60
Adjustment,01/10/2018,01/10/2018,TRAVEL CREDIT $300/YEAR,0.40
Sale,01/08/2018,01/09/2018,PANERA BREAD #1105,-6.35
Sale,01/06/2018,01/08/2018,REC SPORTS - SHIFT 4,-240.00
Sale,01/06/2018,01/08/2018,YPBOR YAN RESTAURANT,-18.26
Adjustment,01/06/2018,01/07/2018,TRAVEL CREDIT $300/YEAR,1.60
Sale,01/06/2018,01/07/2018,RPS ANN ARBOR-PASSPORT P,-1.60
Sale,01/06/2018,01/07/2018,RPS ANN ARBOR-PASSPORT P,-1.60
Adjustment,01/06/2018,01/07/2018,TRAVEL CREDIT $300/YEAR,1.60
Sale,01/05/2018,01/08/2018,Knight's,-11.50
Sale,01/05/2018,01/07/2018,GOOGLE *Parallel Space,-5.49
Sale,01/05/2018,01/05/2018,CITY OF ANN ARBOR,-210.32
Sale,01/05/2018,01/07/2018,WHOLEFDS ARB 10167,-15.94
Sale,01/05/2018,01/07/2018,SANJOY GHOSH,-60.00
Sale,01/04/2018,01/05/2018,LINODE.COM,-1.90
Sale,01/04/2018,01/05/2018,CULVER'S OF ANN AR,-9.64
Sale,01/04/2018,01/05/2018,LOWES #01750*,-85.31
Sale,01/04/2018,01/07/2018,DSW ARBORLAND MALL,-21.19
Sale,01/04/2018,01/07/2018,BED BATH &amp; BEYOND #234,-24.37
Sale,01/04/2018,01/05/2018,BP#6444848SUNNY OIL,-36.15
Sale,01/04/2018,01/05/2018,DUNNING SUBARU,-27.24
Sale,01/03/2018,01/04/2018,ADVANCE AUTO PARTS #8102,-13.77
Sale,01/03/2018,01/04/2018,SQ *BEARCLAW COFFEE CO. A,-7.42
Sale,01/03/2018,01/04/2018,LOWES #00734*,-378.91
Sale,01/02/2018,01/04/2018,REC SPORTS - SHIFT 4,-13.00
Sale,01/02/2018,01/04/2018,THE HOME DEPOT #2721,-48.22
Sale,01/01/2018,01/02/2018,DIGITALOCEAN.COM,-1.38
Sale,12/31/2017,01/01/2018,GOOGLE *PROJECT FI,-91.16
Adjustment,12/31/2017,12/31/2017,TRAVEL CREDIT $300/YEAR,2.80
Sale,12/31/2017,12/31/2017,RPS ANN ARBOR-PASSPORT P,-2.80
Sale,12/30/2017,12/31/2017,HUMANE SOCIETY OF HURON V,-80.00
Sale,12/30/2017,12/31/2017,TRADER JOE'S #678  QPS,-82.65
Sale,12/30/2017,12/31/2017,HUMANE SOCIETY OF HURON V,-11.66
Sale,12/29/2017,12/31/2017,VESTA  *AT&amp;T,-26.98
Sale,12/28/2017,12/29/2017,DTE ENERGY 800-477-4747,-278.60
Sale,12/27/2017,01/16/2018,HOMEDEPOT.COM,-46.41
Sale,12/25/2017,12/26/2017,MICROSOFT*XBOX GAME PASS,-1.00
Sale,12/25/2017,12/26/2017,MICROSOFT   *XBOXLIVE,-1.00
Sale,12/24/2017,12/24/2017,RPS ANN ARBOR-PASSPORT P,-2.00
Adjustment,12/24/2017,12/24/2017,TRAVEL CREDIT $300/YEAR,2.00
Sale,12/24/2017,12/26/2017,THE HOME DEPOT #2721,-184.45
Sale,12/24/2017,12/25/2017,WHOLEFDS ARB 10167,-135.88
Sale,12/24/2017,12/24/2017,RPS ANN ARBOR-PASSPORT P,-1.60
Adjustment,12/24/2017,12/24/2017,TRAVEL CREDIT $300/YEAR,1.60
Sale,12/23/2017,12/25/2017,ZINGERMAN'S DELICATSN,-6.75
Sale,12/22/2017,12/24/2017,PANERA BREAD #600874,-10.47
Return,12/22/2017,12/24/2017,AAA INSUR EFT REFUND,17.90
Sale,12/22/2017,12/24/2017,U-M HEALTH SYSTEM/PCS,-100.00
Sale,12/21/2017,12/24/2017,ARGUS FARM STOP - LIBERTY,-8.00
Sale,12/21/2017,12/22/2017,AVALON CAFE,-3.18
Sale,12/20/2017,12/21/2017,SQ *SWEETWATERS WESTGATE,-11.87
Sale,12/20/2017,12/20/2017,RPS ANN ARBOR-PASSPORT P,-1.60
Sale,12/20/2017,12/21/2017,ACT AAPSCOMMEDU&amp;REC,-530.00
Adjustment,12/20/2017,12/20/2017,TRAVEL CREDIT $300/YEAR,1.60
Sale,12/20/2017,12/20/2017,GOOGLE *Noodlecake,-0.99
Sale,12/20/2017,12/21/2017,U-M HEALTH SYSTEM/PCS,-30.00
Sale,12/19/2017,12/20/2017,UNIV MICH PARKING M15,-2.00
Adjustment,12/19/2017,12/20/2017,TRAVEL CREDIT $300/YEAR,2.00
Sale,12/19/2017,12/20/2017,UNIV MICH PARKING M15,-2.00
Sale,12/19/2017,12/21/2017,Jerusalem Garden -- Liber,-20.00
Adjustment,12/19/2017,12/20/2017,TRAVEL CREDIT $300/YEAR,2.00
Sale,12/18/2017,12/19/2017,AAA CLUB/INSUR 0470602E,-101.00
Sale,12/18/2017,12/19/2017,TK WU CHINESE RESTAURANT,-15.90
Sale,12/18/2017,12/19/2017,UNIV MICH PARKING M18,-2.00
