"fashion","freepeople.com #2899","-114.48"
"food","taste kitchen","-301.14"
"groceries","wholefds arb 10167","-135.5"
"amazon","amazon mktplace pmts","-124.61"
"travel","delta air   0062307729088","-371.4"
"groceries","costco whse #1106","-330.26"
"car house","art van furniture 122","-211.99"
"amazon","amazon mktplace pmts","-129.95"
"food","panera bread #601105","-115.97"
"health","rec sports - shift 4","-240.0"
"car house","city of ann arbor","-210.32"
"lowes","lowes #00734*","-378.91"
"car house","dte energy 800-477-4747","-278.6"
"lowes","the home depot #2721","-184.45"
"groceries","wholefds arb 10167","-135.88"
"health","u-m health system/pcs","-100.0"
"car house","aaa club/insur 0470602e","-101.0"
